timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2018-12-14T00:00:00.000Z";"2018-12-14T23:59:59.999Z";"2018-12-14T21:20:19.000Z";"2018-12-14T00:32:22.000Z";"2781";1.0149815711;1.0202409181;1.0108254055;1.0145430826;34405645.14;214633081.76139;"2018-12-14T23:59:59.999Z"
"2018-12-13T00:00:00.000Z";"2018-12-13T23:59:59.999Z";"2018-12-13T02:02:18.000Z";"2018-12-13T12:24:21.000Z";"2781";1.0165759099;1.0188172263;1.009055993;1.0152672455;32127667.2;214278650.451849;"2018-12-13T23:59:59.999Z"
"2018-12-12T00:00:00.000Z";"2018-12-12T23:59:59.999Z";"2018-12-12T05:18:15.000Z";"2018-12-12T12:51:19.000Z";"2781";1.0227188474;1.0269840921;1.015338426;1.0155327311;28322498.78;212294717.18034;"2018-12-12T23:59:59.999Z"
"2018-12-11T00:00:00.000Z";"2018-12-11T23:59:59.999Z";"2018-12-11T02:06:19.000Z";"2018-12-11T10:19:21.000Z";"2781";1.0238200139;1.0288790967;1.0159088755;1.0200295815;29120342.05;212156020.749399;"2018-12-11T23:59:59.999Z"
"2018-12-10T00:00:00.000Z";"2018-12-10T23:59:59.999Z";"2018-12-10T15:04:19.000Z";"2018-12-10T00:22:16.000Z";"2781";1.0195878484;1.0287709289;1.0158131738;1.0232973649;32156869.89;209986848.757788;"2018-12-10T23:59:59.999Z"
"2018-12-09T00:00:00.000Z";"2018-12-09T23:59:59.999Z";"2018-12-09T10:20:18.000Z";"2018-12-09T17:20:17.000Z";"2781";1.0213425008;1.0271254618;1.0139125152;1.0196005049;37120596.42;209267485.20209;"2018-12-09T23:59:59.999Z"
"2018-12-08T00:00:00.000Z";"2018-12-08T23:59:59.999Z";"2018-12-08T21:44:21.000Z";"2018-12-08T03:00:19.000Z";"2781";1.0133580637;1.0273674784;1.0088744156;1.0237355148;43720359.79;210116173.601891;"2018-12-08T23:59:59.999Z"
"2018-12-07T00:00:00.000Z";"2018-12-07T23:59:59.999Z";"2018-12-07T16:21:19.000Z";"2018-12-07T19:15:21.000Z";"2781";1.0156828508;1.0232401481;1.0018844493;1.0113057637;59547968.07;202950446.155695;"2018-12-07T23:59:59.999Z"
"2018-12-06T00:00:00.000Z";"2018-12-06T23:59:59.999Z";"2018-12-06T23:52:16.000Z";"2018-12-06T14:54:18.000Z";"2781";1.0097243034;1.0197314597;0.9988094696;1.0150409099;41326846.42;202488179.094077;"2018-12-06T23:59:59.999Z"
"2018-12-05T00:00:00.000Z";"2018-12-05T23:59:59.999Z";"2018-12-05T17:00:19.000Z";"2018-12-05T10:03:13.000Z";"2781";1.0156653975;1.0180236999;1.0094658423;1.0139321156;28605066.34;201453509.879151;"2018-12-05T23:59:59.999Z"
